dataset,regime,seed,tag,epoch,val_overall_acc,val_overall_loss,val_brier,val_ece,val_worst_domain_brier,val_worst_domain_ece
camelyon17,rcgdro_finetune,7,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9215,0.23551972600723353,0.061636449034557145,0.02550678520037581,0.061636449034557145,0.02550678520037581
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,7,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.934,0.29677156781922237,0.057125212698339735,0.046737616395011825,0.057125212698339735,0.046737616395011825
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,7,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,0.934,0.29677156781922237,0.057125212698339735,0.046737616395011825,0.057125212698339735,0.046737616395011825
camelyon17,rcgdro_finetune,7,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9215,0.23551972600723353,0.061636449034557145,0.02550678520037581,0.061636449034557145,0.02550678520037581
camelyon17,rcgdro_finetune,8,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,0.9265,0.2645600736335448,0.05741368875389365,0.044572447514165885,0.05741368875389365,0.044572447514165885
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,8,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,0.9215,0.509141128077271,0.07194559397012366,0.06670225254823396,0.07194559397012366,0.06670225254823396
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,8,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9245,0.28398802980474175,0.063890188008904,0.05206602091912897,0.063890188008904,0.05206602091912897
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,8,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9245,0.28398802980474175,0.063890188008904,0.05206602091912897,0.063890188008904,0.05206602091912897
camelyon17,rcgdro_finetune,9,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9355,0.19032797973319565,0.05276111629958808,0.022453760537702237,0.05276111629958808,0.022453760537702237
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,9,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,9,0.9425,0.3620833159815375,0.05103563300970999,0.04905090286788449,0.05103563300970999,0.04905090286788449
camelyon17,rcgdro_softclip_p95_a10_cam_finetune,9,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.916,0.3418789292055736,0.07396755694890926,0.06646057674898877,0.07396755694890926,0.06646057674898877
camelyon17,rcgdro_finetune,9,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,0.9355,0.19032797973319565,0.05276111629958808,0.022453760537702237,0.05276111629958808,0.022453760537702237
