seed,selector,selected_regime,selected_epoch,fallback_to_baseline,val_proxy_loss,val_standard_loss,test_overall_acc,test_overall_loss,test_brier,test_ece,test_wilds_wg_acc,test_wilds_wg_loss,test_wilds_wg_brier,test_wilds_wg_ece,test_wilds_wg_groups
5,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.2972431778907776,1.076979637145996,0.9153174567580094,0.6646037101745605,0.08355790095981577,0.08345628029856811,0.47063492063492063,5.023208141326904,0.5249337042227838,0.5243683179758012,16
6,baseline,erm,1,0,0.2707841694355011,0.2707841694355011,0.9247955629307381,0.18880429863929749,0.056148396107045924,0.024357972219408674,0.5138291333743086,1.1323927640914917,0.34346222355544626,0.2983680755008031,16
6,proxy_only,erm_softclip_p95_a10_cc,1,0,0.23389595746994019,0.4019458591938019,0.9223363382218833,0.269023597240448,0.07034430746626387,0.06274765183031572,0.43846153846153846,1.813900113105774,0.4953634923652758,0.5131828810863398,16
6,val_loss_only,erm_softclip_p95_a10_cc,1,0,0.23389595746994019,0.4019458591938019,0.9223363382218833,0.269023597240448,0.07034430746626387,0.06274765183031572,0.43846153846153846,1.813900113105774,0.4953634923652758,0.5131828810863398,16
6,guardrail_1.25,erm,1,1,0.2707841694355011,0.2707841694355011,0.9247955629307381,0.18880429863929749,0.056148396107045924,0.024357972219408674,0.5138291333743086,1.1323927640914917,0.34346222355544626,0.2983680755008031,16
6,fixed10_baseline,erm,10,0,0.9327114224433899,0.9327114224433899,0.9164760580646126,0.5957972407341003,0.08150989100640002,0.08120442565385007,0.4980769230769231,4.161910533905029,0.496730383542408,0.49574836808637457,16
6,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.2719946503639221,0.8659111261367798,0.9151679598152218,0.570081353187561,0.08257754252800859,0.08230715688193531,0.4775660725261217,3.9690773487091064,0.516245770719012,0.5141912040321218,16
7,baseline,erm,1,0,0.26008832454681396,0.26008832454681396,0.9268810452826239,0.18143466114997864,0.05416979833894393,0.00865431261618613,0.49682539682539684,0.9955087900161743,0.3361482607492474,0.30238916164901786,16
7,proxy_only,erm_softclip_p95_a10_cc,3,0,0.22433620691299438,0.48102349042892456,0.9230314990058454,0.3163313865661621,0.0721995642359695,0.06936485683078535,0.5015873015873016,2.187321662902832,0.4710404166585085,0.474299851340509,16
7,val_loss_only,erm_softclip_p95_a10_cc,1,0,0.28065794706344604,0.47624531388282776,0.921394507482322,0.25737643241882324,0.06965020798169029,0.06258441536611285,0.2904761904761905,2.323493242263794,0.6306739313873352,0.656941054592997,16
7,guardrail_1.25,erm,1,1,0.26008832454681396,0.26008832454681396,0.9268810452826239,0.18143466114997864,0.05416979833894393,0.00865431261618613,0.49682539682539684,0.9955087900161743,0.3361482607492474,0.30238916164901786,16
7,fixed10_baseline,erm,10,0,1.0051462650299072,1.0051462650299072,0.9199294374430043,0.5601732730865479,0.07781459540970277,0.07678135345788459,0.4301587301587302,4.459446430206299,0.55104382390198,0.5534243987846479,16
7,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.28277701139450073,0.9245368838310242,0.9114529607869519,0.5919264554977417,0.08633577110950344,0.08617044870068981,0.5087301587301587,4.021988868713379,0.4858178176330185,0.4854600135002249,16
8,baseline,erm,2,0,0.31660979986190796,0.31660979986190796,0.9282265177677117,0.18939326703548431,0.05501720751906223,0.02707981140751342,0.42857142857142855,1.387389898300171,0.42479072214103086,0.4087692550997425,16
8,proxy_only,erm_softclip_p95_a10_cc,3,0,0.20897424221038818,0.4384506344795227,0.9206843970040812,0.31928661465644836,0.07409385190119691,0.07107229676799122,0.580952380952381,1.8522071838378906,0.39739572302652104,0.39311398473928705,16
8,val_loss_only,erm_softclip_p95_a10_cc,3,0,0.20897424221038818,0.4384506344795227,0.9206843970040812,0.31928661465644836,0.07409385190119691,0.07107229676799122,0.580952380952381,1.8522071838378906,0.39739572302652104,0.39311398473928705,16
8,guardrail_1.25,erm,2,1,0.31660979986190796,0.31660979986190796,0.9282265177677117,0.18939326703548431,0.05501720751906223,0.02707981140751342,0.42857142857142855,1.387389898300171,0.42479072214103086,0.4087692550997425,16
8,fixed10_baseline,erm,10,0,0.8730753064155579,0.8730753064155579,0.9167675771030482,0.5406087636947632,0.08045841630533442,0.0792667264984909,0.4807692307692308,3.599306583404541,0.5017163281054183,0.5042006429941671,16
8,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.31263992190361023,1.1000266075134277,0.9158556457520444,0.6604824662208557,0.0826177292999375,0.08242173874900105,0.4876644736842105,4.812568187713623,0.5049298419709517,0.5052155209590141,16
9,baseline,erm,1,0,0.2753209173679352,0.2753209173679352,0.9270380170725508,0.17641223967075348,0.053078664345870635,0.005431341168282651,0.40811309157959436,1.2195351123809814,0.39067264737987295,0.34878699960175774,16
9,proxy_only,erm_softclip_p95_a10_cc,3,0,0.25234657526016235,0.5587254166603088,0.9232183701843297,0.322496622800827,0.07258999684634003,0.070210600688063,0.4423076923076923,2.518450975418091,0.5336571652863717,0.5378442981240598,16
9,val_loss_only,erm_softclip_p95_a10_cc,1,0,0.26337969303131104,0.4851160943508148,0.9236967604012498,0.271960586309433,0.07003377520692863,0.0642077487216605,0.34375,2.21439528465271,0.5979966813993409,0.6129933907457138,16
9,guardrail_1.25,erm,1,1,0.2753209173679352,0.2753209173679352,0.9270380170725508,0.17641223967075348,0.053078664345870635,0.005431341168282651,0.40811309157959436,1.2195351123809814,0.39067264737987295,0.34878699960175774,16
9,fixed10_baseline,erm,10,0,0.7373899817466736,0.7373899817466736,0.9171263697657382,0.5164097547531128,0.08023175257618453,0.07839000973129759,0.4346153846153846,3.418426036834717,0.53954415480838,0.550079156757206,16
9,fixed10_softclip,erm_softclip_p95_a10_cc,10,0,0.3043633997440338,1.049283742904663,0.9135982419159528,0.6199786067008972,0.08327197310178978,0.08230265802688763,0.4807692307692308,4.449228763580322,0.5000241492501247,0.5022877175469245,16
