condition,regime,seed,tag,epoch,val_ce,gce_proxy,tail_worst_cvar,tail_within_cvar,oracle_wg_acc,rw_tail_core,test_loss,test_acc,test_brier,test_ece
gce_fixed30,erm_gce_q07_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.3806045651435852,0.12786050733678606,13.356914281845093,0.6089117381577662,0.8946859903381642,0.3078478573002739,0.29957007571054367,0.9163472617396007,0.06743210530960413,0.04759348691023258
baseline_selected,erm,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.2340436428785324,0.14578352068848863,5.472710490226746,0.36535627692982564,0.9015544041450776,0.43452757668616443,0.21096087475444955,0.9183224774848919,0.06178795545177403,0.01123700863016647
gce_proxy_selected,erm_gce_q07_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,19,0.33632805943489075,0.12207259678280591,11.91552758216858,0.5209943905081567,0.9067357512953368,0.32841137112841606,0.27123930705053856,0.9208737978225597,0.06317356019262282,0.041517037042040184
gce_val_loss_selected,erm_gce_q07_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,3,0.27585381269454956,0.1384599524358369,7.915747284889221,0.6245389033999724,0.8932642487046633,0.40174656804654196,0.2411037715240898,0.9096338796529264,0.06839296849760311,0.024584996599418978
baseline_fixed30,erm,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.2683858275413513,0.14436678383115742,7.33346951007843,0.3973211787260662,0.8946859903381642,0.38351242509027467,0.23460865328137911,0.9102805276647776,0.06753159788750207,0.015790478638074045
gce_fixed30,erm_gce_q07_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.3804774284362793,0.1274826352152116,13.511175155639648,0.5994452251871875,0.8975845410628019,0.30839531706883816,0.2972248669527349,0.917605286053566,0.06655134074460695,0.046858010978012496
baseline_selected,erm,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,3,0.2343388944864273,0.14784865422593937,5.342333078384399,0.3991391733231211,0.8974093264248705,0.44350959039851806,0.21449652980499678,0.9167587650198697,0.0629721743630989,0.011098125152792902
gce_proxy_selected,erm_gce_q07_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,11,0.3019639849662781,0.12268164133355995,10.493283748626707,0.5004380085448606,0.9067357512953368,0.35205227739857214,0.2500767845965953,0.9191102123356926,0.06297815190216341,0.03665785656641792
gce_val_loss_selected,erm_gce_q07_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,5,0.28087151050567627,0.12882312957027914,9.120282649993896,0.5716414225547365,0.894300518134715,0.38467877720802957,0.2383866531856703,0.916794036729607,0.06414702058469969,0.030282508341586335
baseline_fixed30,erm,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.26815563440322876,0.14529946446178843,7.226802468299866,0.4039293434865102,0.8869565217391304,0.3854983155017849,0.237047290403628,0.9083523408658029,0.06863021751594828,0.0165618247827673
