"fold","holdout_hospital","level","selection_policy","regime","seed","tag","epoch","chosen_val_overall_loss","chosen_val_overall_acc","chosen_proxy_metric","chosen_proxy_metric_col"
"camelyon17_loo_h3","3","baseline","baseline","rcgdro","3","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","14","0.2044656345370276","0.935","0.7461874427362567","proxy_worst_loss_min"
"camelyon17_loo_h3","3","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","8","0.195854967575134","0.946","0.5012073226283582","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","14","0.1647503492365145","0.9445","0.5443599357968163","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","2","0.2219387683287141","0.936","0.6038284338939177","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","12","0.1832592361656237","0.9355","0.6472994231260822","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","7","0.2242989710206145","0.9245","0.7277159948434149","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","18","0.1918787912976741","0.936","0.7471608953816551","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","baseline","baseline","rcgdro","4","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","26","0.1832815271266168","0.9395","0.7077839064101378","proxy_worst_loss_min"
"camelyon17_loo_h3","3","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","23","0.3056217441879048","0.929","0.5516315388817441","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","20","0.2012930446705138","0.9325","0.5798810732972676","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","12","0.1720087647980419","0.945","0.5831148843143371","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","10","0.166437469416834","0.9475","0.5989854757781978","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","23","0.1723822214005633","0.9425","0.6773017835758981","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","23","0.1723822214005633","0.9425","0.6773017835758981","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","baseline","baseline","rcgdro","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","2","0.2205070157908267","0.937","0.7303741046360561","proxy_worst_loss_min"
"camelyon17_loo_h3","3","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","6","0.1911853013958018","0.932","0.5227765722102982","proxy_worst_loss_clip_min"
