dataset,regime,seed,tag,epoch,split,family,bank,partition,within_cvar_mean,within_cvar_weighted,worst_cell_cvar,worst_cell_mean_loss,worst_cell_mean_acc,oracle_wg_acc
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,conf_teacher_wpl,B,0,1.4592017228715122,1.4631363038420677,4.784520149230957,0.7129473993855138,0.71875,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,conf_teacher_wpl,B,0,1.750953269734358,1.753882625542581,10.587239583333334,1.0902663966019948,0.7741935483870968,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,conf_teacher_wpl,B,0,1.7882836227460455,1.7935901243686676,6.945597330729167,1.2330449973383257,0.6875,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,conf_teacher_wpl,B,0,1.6462677009403706,1.6508028944656252,6.84521484375,0.985361106934086,0.71875,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,7,val,conf_teacher_wpl,B,0,2.3654495574689163,2.377219386778772,13.388686418533325,1.9803258180618286,0.7419354838709677,0.9036269430051813
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,8,val,conf_teacher_wpl,B,0,2.1221555928544453,2.126331075929105,9.705249071121216,1.5974334286105247,0.7419354838709677,0.9305699481865285
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,9,val,conf_teacher_wpl,B,0,2.1355391412507743,2.1408218575790525,9.926713228225708,1.3913866666055494,0.6774193548387096,0.9352657004830918
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,10,val,conf_teacher_wpl,B,0,2.3328153533705818,2.3379785438776017,11.4296875,1.68242193998829,0.7096774193548387,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,decoupled_proj,A,0,1.7086940097808836,1.7086940097808838,3.604908275604248,0.5313611003756523,0.805,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,decoupled_proj,A,1,1.822898416519165,1.822898416519165,2.5796637535095215,0.3479765173792839,0.87,0.8860103626943006
